140up,3.4236459732,2.8911318779,2.9081964493,2.7707567215,2.9299063683,3.1090326309,2.9047951698,2.9836549759,3.6258804798,2.9383511543,3.0195112228,2.8395442963,3.0082907677,3.0824699402,3.1139421463,3.1877002716,3.6456985474,3.0295886993,3.0845859051,3.0895490646,3.0965995789,3.136015892,3.2031774521,3.2786726952,3.7138485909,2.9888346195,2.9999101162,2.9892048836,3.1626610756,3.1898956299,3.2003071308,3.2589640617,3.6474502087,2.6651210785,3.0438370705,3.0811793804,3.1127307415,3.0460062027,3.1646926403,3.1680734158,3.0488553047,2.8075504303,3.26476717,3.2860770226,3.3241672516,3.1527738571,2.8890812397,3.140103817,3.2691240311,3.3352656364,3.1350724697,3.1492156982,3.2127127647,3.2636246681,3.0449223518,2.891459465
26-29-p,4.7527666092,3.9799232483,2.9376091957,2.4252638817,2.7087979317,2.9556875229,2.9814648628,2.9878249168,4.913901329,4.0655946732,2.959341526,2.7410445213,2.8006443977,2.8979077339,3.1285793781,3.2263445854,4.8820257187,4.0686159134,2.6600942612,2.1915605068,2.5721552372,2.5735416412,3.0055487156,3.1560356617,4.903924942,4.0024719238,2.4723505974,2.3255772591,2.2950265408,2.6065747738,3.0154666901,3.123067379,4.8671283722,4.2465848923,2.5691175461,2.5667152405,2.5151429176,2.6631340981,2.988972187,3.0982632637,3.12134552,3.0095691681,2.7493648529,3.1234502792,3.2120358944,3.2243943214,3.0816860199,2.7051179409,3.139472723,3.2150874138,3.2092516422,2.7966754437,3.0215444565,3.1596460342,3.1265492439,3.0776085854
312,3.5324087143,3.4313220978,3.4662394524,3.33670187,3.3941626549,3.4916810989,3.1853618622,3.1396639347,3.7397711277,3.491912365,3.609128952,3.4200115204,3.5445158482,3.5351414681,3.4163975716,3.3524308205,3.7301940918,3.5082683563,3.6278026104,3.5943770409,3.5552110672,3.572956562,3.5127780438,3.4347348213,3.8059735298,3.5468039513,3.5605127811,3.5535063744,3.6016607285,3.606713295,3.4824938774,3.3687193394,3.731168747,3.3841128349,3.6029620171,3.5825362206,3.5543739796,3.4534687996,3.4217963219,3.3370149136,3.2332177162,3.1306586266,3.6646466255,3.5193047524,3.4864459038,3.2905278206,3.1629939079,3.5455875397,3.5030188561,3.5022447109,3.2517547607,3.5109138489,3.4079394341,3.3739006519,3.1993608475,3.1753678322
5-HT2,0.9411663413,2.2902107239,2.1802887917,1.8141686916,1.7039904594,1.7410085201,1.5881998539,1.6809196472,0.8476933837,2.3554382324,2.1981124878,1.8172881603,1.6818455458,1.697080493,1.67948246,1.8696290255,1.1784687042,2.3824901581,2.3170080185,2.017244339,1.8028850555,1.6709413528,1.7899346352,1.8479232788,0.9620121717,2.4475245476,2.2115545273,2.0116434097,1.8647456169,1.8644247055,1.7303801775,1.8554430008,1.1822189093,2.3554983139,2.2188742161,1.9003045559,1.783452034,1.5316843987,1.5897604227,1.75200212,1.8878526688,1.9514043331,1.8526184559,1.8222389221,1.901443243,1.9445587397,2.0575299263,1.7468181849,1.8747675419,1.8385831118,1.8762634993,1.7004551888,1.6881815195,1.7918154001,1.9221670628,2.036708355
5-HT7,1.2655419111,1.1590995789,1.3703907728,1.2918021679,1.2393065691,1.2268943787,1.3587658405,1.7400199175,1.1553571224,0.9397424459,0.9503230453,1.0649228096,1.3141210079,1.2508914471,1.4322810173,1.6640828848,1.2456817627,1.0316987038,1.2164455652,1.2391142845,0.9430324435,0.9404742718,1.5192818642,1.6981506348,1.2517949343,0.9232510328,0.9849346876,1.0904932022,0.8465653658,0.9067670107,1.3816373348,1.5356197357,0.755900383,0.5695014596,0.6177438498,0.9184851646,0.7176542282,0.8021751046,1.2312905788,1.4998282194,1.6721987724,1.7678992748,1.3587479591,1.6145867109,1.7146875858,1.9086413384,1.9115898609,1.1154966354,1.5573980808,1.7283232212,1.7993433476,0.9245557189,1.5122768879,1.6687613726,1.6198308468,1.8682618141
ACXD,0.9807202816,1.2190115452,0.9170973897,0.9052326679,1.222892046,1.7676751614,1.9726490974,2.1405320168,0.9152005911,1.1418379545,0.9006794691,0.8677502871,1.421839118,1.7826242447,2.141969204,2.3961224556,0.8910456896,1.1120781899,1.4074026346,0.9500079751,1.4284244776,1.6119487286,2.208565712,2.3668632507,0.6411596537,1.3243739605,0.6789861918,0.5995676517,1.0952889919,1.6080588102,2.1521162987,2.3389348984,0.85653615,1.1378098726,0.9381549358,0.8184173703,1.2326864004,1.6927218437,2.0581185818,2.2784137726,2.429951191,2.427195549,1.7878353596,2.308016777,2.4534010887,2.5333790779,2.5546774864,1.7259631157,2.2951316834,2.4151864052,2.4193034172,1.8096200228,2.238822937,2.4174768925,2.3847329617,2.5519821644
AP-2,1.4834356308,1.431948185,2.018266201,2.1299080849,2.4007372856,2.6173563004,2.412402153,2.3692002296,1.1553373337,1.448731184,1.9020195007,2.1264705658,2.3835618496,2.6073014736,2.5130867958,2.4731411934,1.1260514259,1.4511055946,1.9826834202,2.2590265274,2.418255806,2.4327800274,2.5376484394,2.3837580681,1.2403092384,1.6848825216,1.8911167383,2.1304683685,2.4153242111,2.6019790173,2.5062513351,2.3024091721,1.0410442352,1.5034537315,1.8092736006,2.1789746285,2.404364109,2.4378015995,2.4083423615,2.2760288715,2.2544159889,2.1966552734,2.6196527481,2.5963068008,2.5154190064,2.3334898949,2.2559835911,2.5759210587,2.5847625732,2.5398964882,2.3273873329,2.5737051964,2.4806485176,2.4060001373,2.2250564098,2.2936959267
AP-2sigma,3.7099997997,3.4684519768,3.6699407101,3.4904274941,3.5416245461,3.6860158444,3.3893191814,3.4265713692,3.8765962124,3.5883638859,3.7911977768,3.5436463356,3.6267361641,3.7158284187,3.6331677437,3.6408753395,3.9189538956,3.6505727768,3.8461146355,3.7988829613,3.7590134144,3.824903965,3.7688493729,3.7529470921,3.9893870354,3.6500988007,3.7757182121,3.6415045261,3.7560095787,3.7537121773,3.6545722485,3.6745100021,3.9967885017,3.4944918156,3.7699608803,3.7761220932,3.75289011,3.6407604218,3.6550500393,3.5984070301,3.6833381653,3.5673966408,3.8975949287,3.7921209335,3.7875363827,3.7452037334,3.674831152,3.7648558617,3.766648531,3.7911653519,3.6738982201,3.6867361069,3.6909909248,3.7210741043,3.6347441673,3.6831865311
AP-47,3.6442346573,3.594969511,3.373251915,3.4795241356,3.503818512,3.5532197952,3.4883248806,3.4675283432,3.8179826737,3.7534165382,3.4290790558,3.6763281822,3.6840233803,3.6981806755,3.6893358231,3.6077919006,3.8150851727,3.6601343155,3.350672245,3.4399533272,3.4607200623,3.3553318977,3.4741437435,3.4594364166,3.8799147606,3.7371017933,3.3535690308,3.2416827679,3.4554023743,3.4298701286,3.5370512009,3.4370875359,3.8325390816,3.3741312027,3.0280108452,3.1467680931,3.2955651283,3.2892775536,3.3009176254,3.2799112797,3.2719926834,3.3140802383,3.5281226635,3.5047650337,3.4647834301,3.392642498,3.4105744362,3.4181752205,3.4414255619,3.4820435047,3.3418977261,3.3925635815,3.3340497017,3.377628088,3.3123159409,3.4044008255
AP-50,3.7643435001,3.1355028153,3.5810647011,3.4330458641,3.4939365387,3.5581560135,3.3750276566,3.3879675865,3.9483308792,3.2809581757,3.6457781792,3.4387288094,3.5716021061,3.6104335785,3.5772433281,3.5700526238,3.9035053253,3.2524957657,3.6772708893,3.6147391796,3.5379033089,3.5337874889,3.6170725822,3.5213046074,4.0401110649,3.3545014858,3.5511131287,3.531201601,3.625377655,3.6537690163,3.5347957611,3.4686973095,3.9436683655,2.9656677246,3.6376872063,3.6361660957,3.6296262741,3.5334558487,3.515525341,3.4733655453,3.4287192822,3.4235620499,3.746278286,3.6704363823,3.6486077309,3.5708880425,3.5001091957,3.6353898048,3.6579289436,3.6449398994,3.4936938286,3.6460080147,3.5606541634,3.567094326,3.4574341774,3.5078918934
